Soil Type,pH Level,Organic Matter (%),Nitrogen Content (kg/ha),Phosphorus Content (kg/ha),Potassium Content (kg/ha),Irrigation Method,,label
Saline,7.699734686,2.155236377,24.36368104,14.21529301,41.6125233,Tube Well,,Chilli
Alkaline,7.249382946,1.775728582,31.19277477,13.54719289,39.28370542,Sprinkler Irrigation,,Fenugreek
Alkaline,7.194307376,1.953527897,28.80249039,25.58416888,40.93208085,Sprinkler Irrigation,,Citrus
Alkaline,7.801236718,2.520028945,24.90565021,18.8611451,35.29992034,Tube Well,,Fenugreek
Black lava soil,7.578563959,2.088094911,26.66575642,20.98958334,36.96263856,Canal Irrigation,,Fenugreek
Saline,6.805728723,1.199864448,23.91358654,20.79731253,35.53606242,Canal Irrigation,,Garlic
Black lava soil,7.415438657,2.039786767,33.79412208,23.48161431,41.39399906,Canal Irrigation,,Opium
Saline,7.214679785,2.426234322,23.85408201,27.2605885,40.07074632,Tube Well,,Cumin
Loamy,7.680708659,1.353429228,32.86195156,22.25301706,30.6509183,Canal Irrigation,,Oilseeds
Loamy,7.998816038,1.856602882,33.79757444,18.54120684,39.70086928,Drip Irrigation,,Chilli
Alkaline,7.754841539,2.405852786,31.65959224,34.67703103,34.86038117,Tube Well,,Chilli
Clay,7.112518588,2.684047118,39.83458481,19.80427987,46.2485521,Sprinkler Irrigation,,Tomato
Alkaline,7.647616288,1.880883162,27.94740759,29.09449266,45.88592482,Drip Irrigation,,Coriander
Black lava soil,6.878876733,1.437206443,24.51889838,19.66064309,42.15815815,Sprinkler Irrigation,,Oilseeds
Chalky (Calcareous),8.209265673,0.756095672,36.38482693,21.69011741,33.96489176,Drip Irrigation,,Pomegranate
Saline,7.013617742,2.203311017,29.13685433,23.1933857,39.6821323,Sprinkler Irrigation,,Onion
Black lava soil,8.168484537,1.95887315,31.53225431,17.81131339,40.90994941,Tube Well,,Mango
Sandy,7.869837734,3.285997659,18.75283773,23.04367795,37.21434714,Sprinkler Irrigation,,Mustard
Saline,7.690712809,2.498632784,35.90945021,19.66775512,38.20960277,Sprinkler Irrigation,,Sugarcane
Clay,7.322896806,1.703767272,31.63536187,17.08969333,41.9952207,Canal Irrigation,,Tomato
Clay,6.44508088,2.669663295,26.56730623,25.81688028,45.34396161,Drip Irrigation,,Citrus
Loamy,7.956736866,2.268814951,32.14093124,18.60003349,33.60484632,Sprinkler Irrigation,,Pomegranate
Black lava soil,7.52984594,2.05309146,26.81095654,19.71081694,45.63894014,Drip Irrigation,,Cumin
Alkaline,7.185664876,0.690933401,22.59209614,13.30265113,40.6759517,Canal Irrigation,,Gram
Black lava soil,7.52984594,2.05309146,26.81095654,19.71081694,45.63894014,Drip Irrigation,,Cumin
Loamy,8.051608786,2.720971201,31.09481958,15.79089184,27.82343834,Tube Well,,Pulses
Clay,8.48617224,2.232125619,33.0456776,22.86222653,41.98523335,Sprinkler Irrigation,,Fenugreek
Loamy,7.381775582,1.940190188,24.48407809,24.10276751,40.92154532,Drip Irrigation,,Mustard
Sandy,7.779168212,2.928323718,27.59117014,21.62229302,30.98068604,Canal Irrigation,,Pulses
Nitrogenous,6.46431141,2.583870963,26.12477518,15.72753269,37.98467066,Sprinkler Irrigation,,Bajra
Nitrogenous,7.127028937,1.669229279,33.76709732,16.92730608,35.71825741,Canal Irrigation,,Guava
Saline,7.704026423,2.275398786,32.22386904,15.87173159,40.74681741,Tube Well,,Bajra
Alkaline,7.516951362,1.404796132,34.6298755,19.5446207,39.11202003,Sprinkler Irrigation,,Coriander
Nitrogenous,7.26156177,2.838557935,22.6974955,25.95630341,43.37568528,Sprinkler Irrigation,,Cotton
Clay,7.645601378,1.818213353,29.079838,7.560889712,38.89109298,Drip Irrigation,,Fenugreek
Clay,7.146553716,2.42777783,38.24740447,25.3530528,36.35198765,Sprinkler Irrigation,,Pomegranate
Nitrogenous,7.569825837,2.032512316,34.06640203,15.78073061,31.28163699,Sprinkler Irrigation,,Mustard
Alkaline,7.398737886,1.735851477,35.18043826,12.88512537,35.1493787,Tube Well,,Fenugreek
Alkaline,8.54896967,1.737184533,30.16203507,16.63757202,41.11635418,Drip Irrigation,,Onion
Chalky (Calcareous),7.771695414,2.001573863,36.14995184,24.91341571,32.99964638,Drip Irrigation,,Pulses
Alkaline,6.942959321,1.684534583,25.28969908,17.26002091,38.92924845,Sprinkler Irrigation,,Opium
Nitrogenous,7.389231701,1.411518944,39.10271954,17.16802704,44.15808393,Sprinkler Irrigation,,Fennel
Black lava soil,7.660796606,2.877466536,30.09200815,21.12632059,43.46361378,Sprinkler Irrigation,,Tomato
Loamy,7.186842362,2.247031959,15.72686669,15.71574067,34.3697302,Drip Irrigation,,Mango
Nitrogenous,7.593495105,1.97786334,26.35520375,19.05492851,40.9014744,Sprinkler Irrigation,,Pulses
Nitrogenous,5.914787132,2.10530042,27.5576196,27.96334999,40.09672035,Drip Irrigation,,Chilli
Alkaline,7.516859527,2.134296791,24.42588906,25.98455474,37.01552608,Sprinkler Irrigation,,Pulses
Nitrogenous,7.186289633,2.614428275,32.30539016,21.25314116,44.04285503,Drip Irrigation,,Cotton
Sandy,7.400902162,2.255078734,36.36285081,20.631571,37.65434573,Sprinkler Irrigation,,Mustard
Black lava soil,8.526486012,2.544384827,28.11849638,20.09409525,34.14172826,Sprinkler Irrigation,,Fenugreek
Loamy,7.93438625,1.406831786,32.93927944,23.09869392,30.44341554,Tube Well,,Guava
Alkaline,7.801236718,2.520028945,24.90565021,18.8611451,35.29992034,Tube Well,,Fenugreek
Black lava soil,8.145379212,3.293954487,24.00137367,23.49459843,37.95099378,Drip Irrigation,,Gram
Loamy,7.52511385,2.239753774,33.64470597,16.53824613,36.70480363,Drip Irrigation,,Fenugreek
Chalky (Calcareous),8.344594467,2.834961391,36.11974377,19.01189766,38.17379511,Tube Well,,Bajra
Saline,7.050600095,2.27550853,26.33258967,18.49587022,31.86344136,Tube Well,,Tomato
Clay,7.666359665,1.333425996,28.76332018,21.66615267,46.4957491,Canal Irrigation,,Maize
Sandy,7.02712697,2.304123096,23.4143404,23.88013957,34.98891491,Canal Irrigation,,Onion
Saline,7.340881236,1.609421811,28.7009993,27.99269056,44.01064229,Drip Irrigation,,Guava
Chalky (Calcareous),7.745714726,2.284880179,30.97740866,19.50577399,42.17987695,Sprinkler Irrigation,,Oilseeds
Nitrogenous,7.333269653,2.759976003,19.32100076,23.79893618,35.80236221,Canal Irrigation,,Pomegranate
Nitrogenous,7.568373324,0.847894032,28.19495388,33.51513782,38.84669167,Drip Irrigation,,Pulses
Chalky (Calcareous),7.932034991,2.153067277,28.84470232,14.04062648,49.71764441,Sprinkler Irrigation,,Cotton
Chalky (Calcareous),7.771695414,2.001573863,36.14995184,24.91341571,32.99964638,Drip Irrigation,,Pulses
Nitrogenous,6.832259215,2.243018145,22.26348006,25.41345527,37.64437674,Drip Irrigation,,Gram
Clay,8.02003091,1.630114418,23.32694697,18.07163685,42.17251323,Tube Well,,Fennel
Loamy,6.66276527,1.94548829,30.17187655,20.80294717,46.81066202,Drip Irrigation,,Pulses
Sandy,6.913060018,1.901031136,40.33953169,10.84158876,34.74345044,Tube Well,,Chilli
Chalky (Calcareous),8.346773567,2.075703695,28.53657271,16.90919776,44.49255852,Drip Irrigation,,Tomato
Loamy,7.306185084,1.032517941,29.25319252,8.162611733,41.76885315,Tube Well,,Citrus
Saline,7.206792426,1.690113936,25.45615165,28.42262417,44.21148664,Sprinkler Irrigation,,Citrus
Saline,8.275622633,2.441143246,26.19206067,18.46993023,40.72713609,Tube Well,,Cotton
Sandy,6.86288394,2.524241326,32.43887411,16.32883339,39.29235181,Drip Irrigation,,Oilseeds
Chalky (Calcareous),8.399240044,2.276452614,25.31703997,25.53115779,41.00349347,Drip Irrigation,,Onion
Loamy,6.848577618,2.226033919,28.22012958,20.14595252,43.48987015,Sprinkler Irrigation,,Coriander
Black lava soil,7.756807232,2.017356874,20.15747893,23.27487792,44.05399323,Drip Irrigation,,Cumin
Black lava soil,7.796283637,0.647804184,26.85057724,17.55863079,43.16663413,Sprinkler Irrigation,,Tomato
Black lava soil,7.52984594,2.05309146,26.81095654,19.71081694,45.63894014,Drip Irrigation,,Cumin
Saline,7.660465031,1.506067045,33.6151897,20.42756665,31.42145841,Sprinkler Irrigation,,Oilseeds
Loamy,7.51365669,1.976314649,22.08911618,15.29800542,37.19619547,Canal Irrigation,,Opium
Saline,7.274873306,1.62199799,31.11963437,10.26737357,34.41036196,Canal Irrigation,,Mustard
Chalky (Calcareous),8.127259351,2.400350974,40.29922501,22.79361918,39.21761312,Drip Irrigation,,Oilseeds
Black lava soil,6.481889749,2.023746734,28.75464078,11.63553049,42.02106433,Tube Well,,Mustard
Nitrogenous,7.891679355,1.264755224,23.68615112,16.12062588,40.39482023,Sprinkler Irrigation,,Mustard
Chalky (Calcareous),8.041056156,1.935482942,25.74168913,16.20514651,35.10629582,Sprinkler Irrigation,,Pomegranate
Chalky (Calcareous),6.715927843,2.228606532,28.03308851,16.18791025,36.19818179,Drip Irrigation,,Sugarcane
Loamy,8.017721708,1.581968924,37.12247911,19.54146988,35.56115244,Tube Well,,Barley
Clay,7.370977242,2.634291618,32.45706378,13.88389885,47.12313866,Sprinkler Irrigation,,Chilli
Chalky (Calcareous),7.757031276,1.769415134,33.78282337,13.02752466,45.26945776,Tube Well,,Citrus
Chalky (Calcareous),6.31078417,2.096325766,31.82697121,19.80418942,36.72733215,Canal Irrigation,,Barley
Chalky (Calcareous),8.164083027,1.747850992,26.96088054,11.17306206,48.70470743,Sprinkler Irrigation,,Wheat
Clay,6.644698323,1.8034549,22.16005867,12.53768865,34.99342673,Sprinkler Irrigation,,Mango
Black lava soil,7.832684468,1.601931598,25.24968251,12.78197869,37.5854508,Canal Irrigation,,Chilli
Chalky (Calcareous),8.141397484,2.039003709,23.46111717,18.27447952,40.22031284,Tube Well,,Coriander
Black lava soil,7.380944782,2.023001374,25.47692813,25.86378423,43.32708412,Drip Irrigation,,Mustard
Loamy,6.622857574,2.047263784,39.03044559,33.33452611,40.48577894,Canal Irrigation,,Fennel
Sandy,7.134372716,1.551170307,26.81256283,18.12296277,39.75585082,Tube Well,,Tomato
Chalky (Calcareous),7.816830512,1.650900163,38.39337337,10.44179725,46.55583749,Sprinkler Irrigation,,Cotton
Saline,7.589264585,1.017731981,22.59427138,19.98815542,37.28196552,Canal Irrigation,,Chilli
Alkaline,7.694156003,2.62475245,23.33611301,18.25280336,36.13715626,Sprinkler Irrigation,,Coriander
Clay,7.495077596,1.155747406,24.39976289,23.35455624,43.0189526,Canal Irrigation,,Sugarcane
Alkaline,7.481705013,2.329824999,35.45091736,16.25951968,30.16337468,Drip Irrigation,,Maize
Chalky (Calcareous),7.592587768,2.212722432,31.11144928,26.39432907,35.2384181,Sprinkler Irrigation,,Coriander
Black lava soil,7.42483977,1.836651893,24.78711153,14.13883123,42.32184932,Sprinkler Irrigation,,Oilseeds
Sandy,6.865334752,2.851257329,31.01164398,28.1592845,36.33483502,Canal Irrigation,,Sugarcane
Alkaline,8.268030591,2.298768853,26.44348387,20.58562108,41.18111823,Sprinkler Irrigation,,Sugarcane
Black lava soil,7.59806573,1.547965855,22.25519737,21.28987991,45.51938672,Sprinkler Irrigation,,Guava
Clay,7.112518588,2.684047118,39.83458481,19.80427987,46.2485521,Sprinkler Irrigation,,Tomato
Alkaline,7.579046949,2.016721734,29.5905281,24.95595556,43.73722486,Tube Well,,Citrus
Saline,7.405898781,1.948206573,28.93062416,24.85158101,42.0937998,Sprinkler Irrigation,,Cumin
Black lava soil,7.481053459,3.194185996,35.92128323,23.61413447,40.55899579,Canal Irrigation,,Tomato
Sandy,7.251533987,1.908715513,25.05021104,19.82496195,35.94499568,Canal Irrigation,,Garlic
Saline,7.984684651,1.684298722,30.26263184,16.22024647,41.80220838,Drip Irrigation,,Pomegranate
Sandy,7.947455278,1.183992557,25.47526084,10.96479303,38.6257735,Sprinkler Irrigation,,Onion
Sandy,6.909062937,2.224736956,40.43023525,14.92620253,38.19268617,Tube Well,,Garlic
Clay,7.766679622,2.419734252,36.09097356,25.28684153,44.360985,Drip Irrigation,,Chilli
Clay,7.294487532,2.510811492,28.10620082,30.41330161,42.1543121,Sprinkler Irrigation,,Garlic
Loamy,7.093727115,3.052648715,30.17443974,13.12244555,46.84039675,Drip Irrigation,,Wheat
Alkaline,6.805350635,1.902150734,35.3004487,19.74238536,42.51545184,Canal Irrigation,,Pomegranate
Black lava soil,7.370530602,1.906070299,35.59447299,26.37214213,39.14163173,Drip Irrigation,,Fenugreek
Sandy,6.589619861,1.647113258,23.0402081,28.52051039,39.42445153,Tube Well,,Pomegranate
Alkaline,6.821532215,2.111576527,32.75942986,23.40115104,30.31623649,Canal Irrigation,,Coriander
Chalky (Calcareous),7.088961994,1.390357767,27.15275113,19.37989306,34.67889997,Tube Well,,Cumin
Sandy,7.087083613,2.92319796,39.66679874,21.28375399,39.94242456,Drip Irrigation,,Mustard
Alkaline,7.389055864,1.325113465,38.84084647,21.59982596,32.965283,Drip Irrigation,,Chilli
Clay,7.469798135,2.563890125,30.43055434,16.26538357,44.95083119,Drip Irrigation,,Gram
Chalky (Calcareous),7.592587768,2.212722432,31.11144928,26.39432907,35.2384181,Sprinkler Irrigation,,Coriander
Nitrogenous,7.721501065,2.475774885,24.89418771,22.3673595,38.66179455,Sprinkler Irrigation,,Tomato
Saline,8.014728741,2.43615769,24.28490344,24.10079093,39.67655697,Sprinkler Irrigation,,Onion
Clay,7.068253198,1.984398256,30.09008436,22.36315173,33.16570818,Drip Irrigation,,Wheat
Saline,7.648938096,2.225077817,29.47820775,28.87745425,32.60401991,Drip Irrigation,,Mustard
Sandy,7.230604848,1.639893989,24.37172516,19.79354319,32.62748656,Drip Irrigation,,Gram
Clay,7.223715327,1.063497085,40.22240779,15.01385856,34.70481439,Sprinkler Irrigation,,Tomato
Clay,7.196748306,2.227952098,27.70454845,16.52699815,34.22818666,Tube Well,,Mango
Nitrogenous,7.594739911,2.503721987,23.72538666,20.92355237,44.68957769,Drip Irrigation,,Fennel
Black lava soil,7.567781708,2.364259322,33.18802906,21.29384903,45.97765694,Sprinkler Irrigation,,Mango
Loamy,6.881932102,2.62716918,33.65500313,22.69217479,43.57867121,Drip Irrigation,,Wheat
Black lava soil,7.200089303,1.671432519,26.51140548,16.73268552,38.06729192,Sprinkler Irrigation,,Wheat
Alkaline,7.303194209,2.191216658,23.43918399,18.01442334,39.79264111,Tube Well,,Coriander
Clay,8.524354129,1.187253865,27.21610614,20.16319418,45.68690549,Sprinkler Irrigation,,Bajra
Chalky (Calcareous),7.336491341,1.89327161,32.48099594,17.32341644,42.55749788,Sprinkler Irrigation,,Oilseeds
Chalky (Calcareous),7.159913262,1.357806482,37.37939575,22.45722755,38.85459485,Canal Irrigation,,Onion
Chalky (Calcareous),7.932034991,2.153067277,28.84470232,14.04062648,49.71764441,Sprinkler Irrigation,,Cotton
Loamy,6.475242742,2.186766842,37.27717242,17.04490772,42.20029965,Tube Well,,Citrus
Sandy,7.804133583,2.672967504,29.12676027,26.80084065,39.05153253,Sprinkler Irrigation,,Cotton
Saline,7.427560719,2.021520435,35.11420736,19.04776907,37.12958711,Sprinkler Irrigation,,Citrus
Clay,7.083200859,1.66005573,26.02014813,20.95944773,39.19720195,Tube Well,,Pulses
Chalky (Calcareous),7.736572727,1.648544281,28.81096481,22.33215644,42.60344748,Canal Irrigation,,Wheat
Alkaline,7.524664083,2.361223493,28.17359571,31.93983853,40.90035519,Tube Well,,Mango
Clay,7.666359665,1.333425996,28.76332018,21.66615267,46.4957491,Canal Irrigation,,Maize
Chalky (Calcareous),8.041056156,1.935482942,25.74168913,16.20514651,35.10629582,Sprinkler Irrigation,,Pomegranate
Alkaline,7.991926172,2.062943265,27.61724288,13.47705278,35.53202493,Tube Well,,Citrus
Saline,7.181888144,1.717469763,39.35537241,15.74557955,52.20610861,Sprinkler Irrigation,,Maize
Sandy,8.100130875,1.768419319,27.94286696,25.76950367,30.6512915,Canal Irrigation,,Gram
Black lava soil,7.387840515,2.429792436,30.39900742,25.69777768,38.06319018,Canal Irrigation,,Cotton
Black lava soil,7.567781708,2.364259322,33.18802906,21.29384903,45.97765694,Sprinkler Irrigation,,Mango
Chalky (Calcareous),7.721158434,1.624635196,24.24001226,20.54541485,41.92985046,Canal Irrigation,,Fennel
Alkaline,8.317898903,1.889478768,30.34684901,20.96298459,51.96054818,Drip Irrigation,,Onion
Black lava soil,7.042261485,2.06322961,27.48565623,25.89432969,46.55581148,Drip Irrigation,,Barley
Nitrogenous,6.966983914,1.974228896,39.56002735,25.82030076,46.74589524,Sprinkler Irrigation,,Gram
Chalky (Calcareous),7.340625842,1.485094076,29.38327968,21.54523722,36.7215614,Tube Well,,Cumin
Saline,7.931111756,1.291886472,24.24423132,5.804606703,35.95309589,Tube Well,,Maize
Sandy,6.865334752,2.851257329,31.01164398,28.1592845,36.33483502,Canal Irrigation,,Sugarcane
Black lava soil,6.971751465,2.537610771,35.23638204,24.3171864,39.92218456,Canal Irrigation,,Pulses
Clay,7.340576822,2.313217336,29.60045774,21.0253767,31.88308735,Canal Irrigation,,Barley
Saline,6.974972605,1.545155106,33.79750019,16.91612319,33.26002108,Tube Well,,Guava
Chalky (Calcareous),7.395665814,1.843665777,34.28949413,22.76784766,38.7135,Sprinkler Irrigation,,Barley
Loamy,7.363577727,2.485087541,24.50795391,16.90438526,32.46737371,Canal Irrigation,,Wheat
Black lava soil,7.182229451,2.104161254,31.80184358,15.44677456,46.35532663,Drip Irrigation,,Garlic
Saline,8.2695986,1.535890016,36.21714139,21.77669098,30.95366143,Canal Irrigation,,Coriander
Saline,8.0362709,2.714380081,37.17154835,21.42377297,30.18355426,Sprinkler Irrigation,,Cotton
Saline,7.621828612,1.454895797,25.072302,15.1512814,40.55267659,Canal Irrigation,,Pulses
Black lava soil,7.842081604,1.592621999,30.88075226,13.7508983,38.6738123,Canal Irrigation,,Oilseeds
Alkaline,6.857707867,2.488907775,19.47176529,25.76795172,46.93174699,Sprinkler Irrigation,,Cotton
Clay,7.249869492,1.741941679,40.62278115,6.1309253,39.10190139,Sprinkler Irrigation,,Onion
Black lava soil,7.037968596,1.373246994,28.92522581,21.92874984,43.51329999,Canal Irrigation,,Pulses
Alkaline,7.516951362,1.404796132,34.6298755,19.5446207,39.11202003,Sprinkler Irrigation,,Coriander
Loamy,6.881932102,2.62716918,33.65500313,22.69217479,43.57867121,Drip Irrigation,,Wheat
Clay,7.469798135,2.563890125,30.43055434,16.26538357,44.95083119,Drip Irrigation,,Gram
Clay,6.644698323,1.8034549,22.16005867,12.53768865,34.99342673,Sprinkler Irrigation,,Mango
Black lava soil,7.318826221,2.370911147,29.54015767,14.59042816,37.98356104,Sprinkler Irrigation,,Fennel
Clay,7.237668796,2.246827424,36.48031531,14.46421592,38.17247032,Canal Irrigation,,Fennel
Loamy,7.487252936,1.891420596,30.29185145,16.98070534,38.28397037,Tube Well,,Mustard
Nitrogenous,7.123782381,1.266607405,27.49298927,24.87656229,42.57814044,Sprinkler Irrigation,,Maize
Saline,7.33980747,1.110300535,25.30016085,22.3832552,48.57953816,Canal Irrigation,,Tomato
Black lava soil,7.337194474,1.917832397,31.06046677,15.0332065,34.92060587,Sprinkler Irrigation,,Onion
Alkaline,7.579046949,2.016721734,29.5905281,24.95595556,43.73722486,Tube Well,,Citrus
Nitrogenous,7.55400706,1.546675727,34.78996971,23.31772809,34.86959578,Drip Irrigation,,Mustard
Black lava soil,7.371829661,1.730976121,33.9892189,10.70331614,40.22745738,Sprinkler Irrigation,,Garlic
Black lava soil,8.031970494,2.126284423,36.92266024,22.22099164,45.50661479,Sprinkler Irrigation,,Cotton
Loamy,7.51221592,2.160498782,35.01118083,27.80127765,30.24198544,Tube Well,,Maize
Loamy,8.336132952,1.631310048,25.82907576,8.669739529,38.24610897,Sprinkler Irrigation,,Citrus
Black lava soil,8.168484537,1.95887315,31.53225431,17.81131339,40.90994941,Tube Well,,Mango
Saline,6.883729844,1.657754135,32.28662141,30.49110737,39.30958833,Canal Irrigation,,Cotton
Black lava soil,7.200089303,1.671432519,26.51140548,16.73268552,38.06729192,Sprinkler Irrigation,,Wheat
Clay,8.157113288,2.356633125,24.87017591,23.03644508,47.33925222,Sprinkler Irrigation,,Cumin
Clay,7.33609677,1.286990941,31.96936609,24.14661886,36.84174238,Sprinkler Irrigation,,Opium
Loamy,7.51221592,2.160498782,35.01118083,27.80127765,30.24198544,Tube Well,,Maize
Nitrogenous,7.721501065,2.475774885,24.89418771,22.3673595,38.66179455,Sprinkler Irrigation,,Tomato
Alkaline,7.869118615,1.428330504,30.43736877,21.16521476,36.40967608,Tube Well,,Onion
Loamy,6.848577618,2.226033919,28.22012958,20.14595252,43.48987015,Sprinkler Irrigation,,Coriander
Sandy,7.400902162,2.255078734,36.36285081,20.631571,37.65434573,Sprinkler Irrigation,,Mustard
Chalky (Calcareous),7.222491649,1.298815358,40.45547136,19.88781974,39.71024729,Sprinkler Irrigation,,Citrus
Black lava soil,7.52984594,2.05309146,26.81095654,19.71081694,45.63894014,Drip Irrigation,,Cumin
Nitrogenous,7.375692073,2.313306819,30.22781941,23.11703569,43.51720067,Sprinkler Irrigation,,Fennel
Loamy,7.425272153,1.284584399,27.61723099,18.50589955,38.20877811,Tube Well,,Maize
Black lava soil,7.194183132,2.559316167,30.06521687,19.10374487,39.44997251,Canal Irrigation,,Mustard
Black lava soil,7.978919816,1.604559104,30.17004048,13.17489102,43.50747391,Canal Irrigation,,Sugarcane
Saline,7.476869391,2.057050746,30.30941676,15.36223335,39.04879578,Canal Irrigation,,Fennel
Clay,7.469798135,2.563890125,30.43055434,16.26538357,44.95083119,Drip Irrigation,,Gram
Loamy,7.956736866,2.268814951,32.14093124,18.60003349,33.60484632,Sprinkler Irrigation,,Pomegranate
Loamy,7.196176827,1.931344517,34.78895807,21.03801676,41.53838327,Tube Well,,Cumin
Saline,8.331866416,2.152621563,32.9369585,27.07093644,42.23696969,Tube Well,,Opium
Clay,7.996891107,2.686957193,25.73806617,22.37682805,43.16227108,Sprinkler Irrigation,,Mustard
Alkaline,7.165827403,1.969462164,24.70779683,7.509694913,41.00229816,Sprinkler Irrigation,,Cumin
Black lava soil,7.52984594,2.05309146,26.81095654,19.71081694,45.63894014,Drip Irrigation,,Cumin
Loamy,7.571713283,2.435762193,23.74400432,12.33740862,47.89718946,Sprinkler Irrigation,,Fenugreek
Alkaline,6.926420244,2.54495248,27.14408013,20.219144,44.77901373,Sprinkler Irrigation,,Fennel
Saline,8.527096921,2.07391037,22.9186557,16.78611809,37.70561577,Tube Well,,Citrus
Chalky (Calcareous),7.784136689,2.543190356,31.66684926,7.535947503,37.50430524,Drip Irrigation,,Tomato
Sandy,7.754304187,1.78484534,22.57971668,18.95765895,46.03304077,Drip Irrigation,,Mango
Chalky (Calcareous),7.36719772,1.800060881,29.42679582,21.32134136,39.24941524,Tube Well,,Gram
Black lava soil,7.315340615,1.210281851,25.91054079,21.95604664,42.90890885,Canal Irrigation,,Fenugreek
Nitrogenous,7.891679355,1.264755224,23.68615112,16.12062588,40.39482023,Sprinkler Irrigation,,Mustard
Clay,7.864531823,2.175582734,31.70830116,18.64342511,33.91709598,Tube Well,,Citrus
Saline,7.391738401,1.53037923,36.66275734,24.64466007,36.97546618,Drip Irrigation,,Sugarcane
Saline,8.096556473,2.510757696,34.59457427,17.70171614,34.60078776,Canal Irrigation,,Sugarcane
Black lava soil,8.528905589,1.280794417,27.4241455,19.36740552,42.19726345,Sprinkler Irrigation,,Barley
Loamy,7.196176827,1.931344517,34.78895807,21.03801676,41.53838327,Tube Well,,Cumin
Nitrogenous,7.26156177,2.838557935,22.6974955,25.95630341,43.37568528,Sprinkler Irrigation,,Cotton
Black lava soil,7.896909234,1.85131196,28.76808299,24.93188253,36.44013386,Tube Well,,Guava
Chalky (Calcareous),7.159913262,1.357806482,37.37939575,22.45722755,38.85459485,Canal Irrigation,,Onion
Clay,7.85817004,3.162349457,27.35526619,24.78652411,39.46954682,Sprinkler Irrigation,,Cotton
Loamy,8.263406332,2.951279103,44.32606012,15.49003675,54.12110213,Sprinkler Irrigation,,Coriander
Chalky (Calcareous),7.462827335,1.907724279,32.96164774,20.49656907,38.04795631,Drip Irrigation,,Maize
Clay,6.657666211,2.095458262,29.81834696,20.73467649,37.38934215,Tube Well,,Gram
Black lava soil,7.382363045,3.072912463,22.27532039,10.09017757,32.50409399,Tube Well,,Opium
Saline,7.534668581,2.431271742,21.52513281,24.10116199,44.08653102,Canal Irrigation,,Citrus
Sandy,7.947455278,1.183992557,25.47526084,10.96479303,38.6257735,Sprinkler Irrigation,,Onion
Chalky (Calcareous),7.506414322,2.239913518,28.65677123,10.81820108,37.83613058,Tube Well,,Garlic
Chalky (Calcareous),6.997854718,1.409009002,34.97986839,16.50869076,40.62087842,Drip Irrigation,,Guava
