District,Soil Type,pH Level,Organic Matter (%),Nitrogen Content (kg/ha),Phosphorus Content (kg/ha),Potassium Content (kg/ha),Crop,Irrigation Method,Water Consumption (liters/hectare),Water Availability (liters/hectare)
Alwar,Saline,8.286867108,2.228344005,22.51920593,15.40893917,46.61372233,Mustard,Drip Irrigation,8888.025672,9403.125844
Bhilwara,Loamy,7.944518561,2.286872211,23.61847792,13.55846191,41.46357741,Chilli,Tube Well,9040.477636,9775.91648
Jaipur,Loamy,7.262102278,1.586944004,26.5649295,13.24722018,39.62064275,Oilseeds,Drip Irrigation,12856.79532,13280.61297
Ajmer,Sandy,8.46757702,2.407750511,29.75955746,19.08424764,38.21663433,Oilseeds,Canal Irrigation,8123.68917,8494.871497
Jodhpur,Chalky (Calcareous),7.932034991,2.153067277,28.84470232,14.04062648,49.71764441,Cotton,Sprinkler Irrigation,9473.580498,9582.590408
Sri Ganganagar,Clay,7.85817004,3.162349457,27.35526619,24.78652411,39.46954682,Cotton,Sprinkler Irrigation,6156.527636,5892.367944
Jodhpur,Saline,7.704026423,2.275398786,32.22386904,15.87173159,40.74681741,Bajra,Tube Well,14997.40128,15147.21472
Jaipur,Loamy,7.989228903,1.594735685,34.28487768,19.65776754,40.14387782,Fennel,Sprinkler Irrigation,12894.04065,13842.29579
Jaipur,Alkaline,6.97990314,2.972597537,20.89456965,17.01166158,41.85105945,Mango,Sprinkler Irrigation,7857.810877,7147.025625
Nagaur,Black lava soil,7.71856339,2.046027569,32.38120177,32.64963875,35.03203498,Fenugreek,Sprinkler Irrigation,12184.96737,12224.30067
Ajmer,Black lava soil,7.481053459,3.194185996,35.92128323,23.61413447,40.55899579,Tomato,Canal Irrigation,7527.310611,7131.947208
Nagaur,Alkaline,8.199743213,1.685672847,28.61243191,14.81845376,38.98269429,Opium,Tube Well,13545.89218,12811.31619
Jaipur,Clay,7.397561668,2.015697933,38.03789153,19.89719721,41.44591837,Garlic,Sprinkler Irrigation,8554.083985,8965.299594
Jaipur,Saline,7.699734686,2.155236377,24.36368104,14.21529301,41.6125233,Chilli,Tube Well,11960.80291,11499.37797
Bhilwara,Alkaline,7.249382946,1.775728582,31.19277477,13.54719289,39.28370542,Fenugreek,Sprinkler Irrigation,9494.57654,8871.030216
Bhilwara,Alkaline,7.194307376,1.953527897,28.80249039,25.58416888,40.93208085,Citrus,Sprinkler Irrigation,14313.65227,13678.46662
Udaipur,Alkaline,7.801236718,2.520028945,24.90565021,18.8611451,35.29992034,Fenugreek,Tube Well,7762.212787,6797.510383
Udaipur,Black lava soil,7.578563959,2.088094911,26.66575642,20.98958334,36.96263856,Fenugreek,Canal Irrigation,9823.318137,9427.97056
Bhilwara,Saline,6.805728723,1.199864448,23.91358654,20.79731253,35.53606242,Garlic,Canal Irrigation,11615.54357,11215.61193
Nagaur,Black lava soil,7.415438657,2.039786767,33.79412208,23.48161431,41.39399906,Opium,Canal Irrigation,11498.95967,11376.28209
Nagaur,Saline,7.214679785,2.426234322,23.85408201,27.2605885,40.07074632,Cumin,Tube Well,10585.55288,10469.30361
Ajmer,Loamy,7.680708659,1.353429228,32.86195156,22.25301706,30.6509183,Oilseeds,Canal Irrigation,12487.54017,11780.39695
Sri Ganganagar,Loamy,7.998816038,1.856602882,33.79757444,18.54120684,39.70086928,Chilli,Drip Irrigation,6838.008501,6417.574559
Bhilwara,Alkaline,7.754841539,2.405852786,31.65959224,34.67703103,34.86038117,Chilli,Tube Well,11143.4988,10342.08728
Ajmer,Clay,7.112518588,2.684047118,39.83458481,19.80427987,46.2485521,Tomato,Sprinkler Irrigation,7600.513585,8194.564753
Bhilwara,Alkaline,7.647616288,1.880883162,27.94740759,29.09449266,45.88592482,Coriander,Drip Irrigation,8766.947632,9599.009952
Jaipur,Black lava soil,6.878876733,1.437206443,24.51889838,19.66064309,42.15815815,Oilseeds,Sprinkler Irrigation,13466.50169,13436.62449
Udaipur,Chalky (Calcareous),8.209265673,0.756095672,36.38482693,21.69011741,33.96489176,Pomegranate,Drip Irrigation,8971.757271,9468.350445
Jodhpur,Saline,7.013617742,2.203311017,29.13685433,23.1933857,39.6821323,Onion,Sprinkler Irrigation,14543.52444,14584.89972
Nagaur,Black lava soil,8.168484537,1.95887315,31.53225431,17.81131339,40.90994941,Mango,Tube Well,12484.25317,11786.78267
Udaipur,Sandy,7.869837734,3.285997659,18.75283773,23.04367795,37.21434714,Mustard,Sprinkler Irrigation,13394.0489,13579.46223
Nagaur,Saline,7.690712809,2.498632784,35.90945021,19.66775512,38.20960277,Sugarcane,Sprinkler Irrigation,8027.022644,8008.712839
Kota,Clay,7.322896806,1.703767272,31.63536187,17.08969333,41.9952207,Tomato,Canal Irrigation,10189.05345,9939.347221
Bhilwara,Clay,6.44508088,2.669663295,26.56730623,25.81688028,45.34396161,Citrus,Drip Irrigation,12695.00031,12305.32824
Kota,Loamy,7.956736866,2.268814951,32.14093124,18.60003349,33.60484632,Pomegranate,Sprinkler Irrigation,8859.254552,8703.733317
Kota,Black lava soil,7.52984594,2.05309146,26.81095654,19.71081694,45.63894014,Cumin,Drip Irrigation,7901.998227,8134.695576
Jaipur,Alkaline,7.185664876,0.690933401,22.59209614,13.30265113,40.6759517,Gram,Canal Irrigation,7163.283217,7899.629436
Kota,Black lava soil,7.52984594,2.05309146,26.81095654,19.71081694,45.63894014,Cumin,Drip Irrigation,7901.998227,8134.695576
Jaipur,Loamy,8.051608786,2.720971201,31.09481958,15.79089184,27.82343834,Pulses,Tube Well,12711.24546,12906.54273
Sri Ganganagar,Clay,8.48617224,2.232125619,33.0456776,22.86222653,41.98523335,Fenugreek,Sprinkler Irrigation,13154.10243,14108.30613
Hanumangarh,Loamy,7.381775582,1.940190188,24.48407809,24.10276751,40.92154532,Mustard,Drip Irrigation,11680.43606,12195.10413
Udaipur,Sandy,7.779168212,2.928323718,27.59117014,21.62229302,30.98068604,Pulses,Canal Irrigation,7848.415368,8012.72678
Sri Ganganagar,Nitrogenous,6.46431141,2.583870963,26.12477518,15.72753269,37.98467066,Bajra,Sprinkler Irrigation,5979.184725,5235.677515
Bhilwara,Nitrogenous,7.127028937,1.669229279,33.76709732,16.92730608,35.71825741,Guava,Canal Irrigation,9389.203042,9235.061292
Jodhpur,Saline,7.704026423,2.275398786,32.22386904,15.87173159,40.74681741,Bajra,Tube Well,14997.40128,15147.21472
Bhilwara,Alkaline,7.516951362,1.404796132,34.6298755,19.5446207,39.11202003,Coriander,Sprinkler Irrigation,12385.67735,12661.67578
Udaipur,Nitrogenous,7.26156177,2.838557935,22.6974955,25.95630341,43.37568528,Cotton,Sprinkler Irrigation,12431.49424,12074.77075
Alwar,Clay,7.645601378,1.818213353,29.079838,7.560889712,38.89109298,Fenugreek,Drip Irrigation,10413.52151,9886.285296
Hanumangarh,Clay,7.146553716,2.42777783,38.24740447,25.3530528,36.35198765,Pomegranate,Sprinkler Irrigation,6516.406866,5629.616415
Kota,Nitrogenous,7.569825837,2.032512316,34.06640203,15.78073061,31.28163699,Mustard,Sprinkler Irrigation,8001.6475,7660.096767
Alwar,Alkaline,7.398737886,1.735851477,35.18043826,12.88512537,35.1493787,Fenugreek,Tube Well,11920.79824,11814.65847
Kota,Alkaline,8.54896967,1.737184533,30.16203507,16.63757202,41.11635418,Onion,Drip Irrigation,7703.977881,7705.279527
Kota,Chalky (Calcareous),7.771695414,2.001573863,36.14995184,24.91341571,32.99964638,Pulses,Drip Irrigation,6031.495057,5062.910656
Sri Ganganagar,Alkaline,6.942959321,1.684534583,25.28969908,17.26002091,38.92924845,Opium,Sprinkler Irrigation,8467.326204,7736.302688
Sri Ganganagar,Nitrogenous,7.389231701,1.411518944,39.10271954,17.16802704,44.15808393,Fennel,Sprinkler Irrigation,6711.782326,6008.294662
Alwar,Black lava soil,7.660796606,2.877466536,30.09200815,21.12632059,43.46361378,Tomato,Sprinkler Irrigation,6562.789956,6767.838855
Jaipur,Loamy,7.186842362,2.247031959,15.72686669,15.71574067,34.3697302,Mango,Drip Irrigation,13700.15472,14586.85054
Jodhpur,Nitrogenous,7.593495105,1.97786334,26.35520375,19.05492851,40.9014744,Pulses,Sprinkler Irrigation,10097.40363,10012.82923
Kota,Nitrogenous,5.914787132,2.10530042,27.5576196,27.96334999,40.09672035,Chilli,Drip Irrigation,14638.50661,15448.41821
Alwar,Alkaline,7.516859527,2.134296791,24.42588906,25.98455474,37.01552608,Pulses,Sprinkler Irrigation,11100.78018,10715.63683
Udaipur,Nitrogenous,7.186289633,2.614428275,32.30539016,21.25314116,44.04285503,Cotton,Drip Irrigation,15160.8357,14724.52624
Alwar,Sandy,7.400902162,2.255078734,36.36285081,20.631571,37.65434573,Mustard,Sprinkler Irrigation,7961.273257,7023.619586
Hanumangarh,Black lava soil,8.526486012,2.544384827,28.11849638,20.09409525,34.14172826,Fenugreek,Sprinkler Irrigation,10023.93048,9684.380015
Nagaur,Loamy,7.93438625,1.406831786,32.93927944,23.09869392,30.44341554,Guava,Tube Well,9607.273703,8948.876793
Udaipur,Alkaline,7.801236718,2.520028945,24.90565021,18.8611451,35.29992034,Fenugreek,Tube Well,7762.212787,6797.510383
Alwar,Black lava soil,8.145379212,3.293954487,24.00137367,23.49459843,37.95099378,Gram,Drip Irrigation,11188.69268,11787.04313
Sri Ganganagar,Loamy,7.52511385,2.239753774,33.64470597,16.53824613,36.70480363,Fenugreek,Drip Irrigation,11675.95619,12521.34697
Alwar,Chalky (Calcareous),8.344594467,2.834961391,36.11974377,19.01189766,38.17379511,Bajra,Tube Well,5868.969579,5650.334584
Alwar,Saline,7.050600095,2.27550853,26.33258967,18.49587022,31.86344136,Tomato,Tube Well,12226.92394,12060.76864
Udaipur,Clay,7.666359665,1.333425996,28.76332018,21.66615267,46.4957491,Maize,Canal Irrigation,15086.93143,14486.90281
Kota,Sandy,7.02712697,2.304123096,23.4143404,23.88013957,34.98891491,Onion,Canal Irrigation,7361.595151,7776.958274
Udaipur,Saline,7.340881236,1.609421811,28.7009993,27.99269056,44.01064229,Guava,Drip Irrigation,14423.56033,13859.13683
Kota,Chalky (Calcareous),7.745714726,2.284880179,30.97740866,19.50577399,42.17987695,Oilseeds,Sprinkler Irrigation,12623.94474,12590.95157
Sri Ganganagar,Nitrogenous,7.333269653,2.759976003,19.32100076,23.79893618,35.80236221,Pomegranate,Canal Irrigation,12134.46143,12846.00772
Jodhpur,Nitrogenous,7.568373324,0.847894032,28.19495388,33.51513782,38.84669167,Pulses,Drip Irrigation,10404.05607,10027.203
Jodhpur,Chalky (Calcareous),7.932034991,2.153067277,28.84470232,14.04062648,49.71764441,Cotton,Sprinkler Irrigation,9473.580498,9582.590408
Kota,Chalky (Calcareous),7.771695414,2.001573863,36.14995184,24.91341571,32.99964638,Pulses,Drip Irrigation,6031.495057,5062.910656
Bhilwara,Nitrogenous,6.832259215,2.243018145,22.26348006,25.41345527,37.64437674,Gram,Drip Irrigation,12648.40604,12091.90025
Kota,Clay,8.02003091,1.630114418,23.32694697,18.07163685,42.17251323,Fennel,Tube Well,15163.94978,15951.11471
Bhilwara,Loamy,6.66276527,1.94548829,30.17187655,20.80294717,46.81066202,Pulses,Drip Irrigation,9422.358174,9948.40555
Kota,Sandy,6.913060018,1.901031136,40.33953169,10.84158876,34.74345044,Chilli,Tube Well,10866.56894,9953.445509
Udaipur,Chalky (Calcareous),8.346773567,2.075703695,28.53657271,16.90919776,44.49255852,Tomato,Drip Irrigation,6772.560136,6623.944401
Jodhpur,Loamy,7.306185084,1.032517941,29.25319252,8.162611733,41.76885315,Citrus,Tube Well,13949.24518,14025.50808
Jodhpur,Saline,7.206792426,1.690113936,25.45615165,28.42262417,44.21148664,Citrus,Sprinkler Irrigation,12430.03147,13226.77698
Kota,Saline,8.275622633,2.441143246,26.19206067,18.46993023,40.72713609,Cotton,Tube Well,8182.760003,8027.832702
Jaipur,Sandy,6.86288394,2.524241326,32.43887411,16.32883339,39.29235181,Oilseeds,Drip Irrigation,12472.16259,12667.43562
Bhilwara,Chalky (Calcareous),8.399240044,2.276452614,25.31703997,25.53115779,41.00349347,Onion,Drip Irrigation,9945.804199,10823.73315
Sri Ganganagar,Loamy,6.848577618,2.226033919,28.22012958,20.14595252,43.48987015,Coriander,Sprinkler Irrigation,11475.80445,12220.69072
Sri Ganganagar,Black lava soil,7.756807232,2.017356874,20.15747893,23.27487792,44.05399323,Cumin,Drip Irrigation,9821.907159,10202.99351
Sri Ganganagar,Black lava soil,7.796283637,0.647804184,26.85057724,17.55863079,43.16663413,Tomato,Sprinkler Irrigation,12397.296,11464.31658
Kota,Black lava soil,7.52984594,2.05309146,26.81095654,19.71081694,45.63894014,Cumin,Drip Irrigation,7901.998227,8134.695576
Nagaur,Saline,7.660465031,1.506067045,33.6151897,20.42756665,31.42145841,Oilseeds,Sprinkler Irrigation,7842.481531,7206.450194
Kota,Loamy,7.51365669,1.976314649,22.08911618,15.29800542,37.19619547,Opium,Canal Irrigation,6424.958748,6734.474491
Ajmer,Saline,7.274873306,1.62199799,31.11963437,10.26737357,34.41036196,Mustard,Canal Irrigation,6854.972214,6806.422334
Hanumangarh,Chalky (Calcareous),8.127259351,2.400350974,40.29922501,22.79361918,39.21761312,Oilseeds,Drip Irrigation,9414.524911,9205.134713
Alwar,Black lava soil,6.481889749,2.023746734,28.75464078,11.63553049,42.02106433,Mustard,Tube Well,12358.59781,12684.56108
Hanumangarh,Nitrogenous,7.891679355,1.264755224,23.68615112,16.12062588,40.39482023,Mustard,Sprinkler Irrigation,11298.74409,11921.78615
Jodhpur,Chalky (Calcareous),8.041056156,1.935482942,25.74168913,16.20514651,35.10629582,Pomegranate,Sprinkler Irrigation,6596.729919,6570.664869
Kota,Chalky (Calcareous),6.715927843,2.228606532,28.03308851,16.18791025,36.19818179,Sugarcane,Drip Irrigation,11438.12267,11410.32459
Alwar,Loamy,8.017721708,1.581968924,37.12247911,19.54146988,35.56115244,Barley,Tube Well,16966.70819,17472.38859
Sri Ganganagar,Clay,7.370977242,2.634291618,32.45706378,13.88389885,47.12313866,Chilli,Sprinkler Irrigation,11541.94781,12312.77389
Nagaur,Chalky (Calcareous),7.757031276,1.769415134,33.78282337,13.02752466,45.26945776,Citrus,Tube Well,13664.46576,13880.32568
Jodhpur,Chalky (Calcareous),6.31078417,2.096325766,31.82697121,19.80418942,36.72733215,Barley,Canal Irrigation,7262.32941,7523.14917
Jodhpur,Chalky (Calcareous),8.164083027,1.747850992,26.96088054,11.17306206,48.70470743,Wheat,Sprinkler Irrigation,10457.68019,9747.988571
Jaipur,Clay,6.644698323,1.8034549,22.16005867,12.53768865,34.99342673,Mango,Sprinkler Irrigation,7381.405459,6785.18612
Jodhpur,Black lava soil,7.832684468,1.601931598,25.24968251,12.78197869,37.5854508,Chilli,Canal Irrigation,11139.65533,11496.05058
Sri Ganganagar,Chalky (Calcareous),8.141397484,2.039003709,23.46111717,18.27447952,40.22031284,Coriander,Tube Well,15225.06971,14714.16899
Udaipur,Black lava soil,7.380944782,2.023001374,25.47692813,25.86378423,43.32708412,Mustard,Drip Irrigation,11497.93257,10643.11146
Hanumangarh,Loamy,6.622857574,2.047263784,39.03044559,33.33452611,40.48577894,Fennel,Canal Irrigation,10433.48021,9681.043435
Ajmer,Sandy,7.134372716,1.551170307,26.81256283,18.12296277,39.75585082,Tomato,Tube Well,12018.49772,12493.07915
Nagaur,Chalky (Calcareous),7.816830512,1.650900163,38.39337337,10.44179725,46.55583749,Cotton,Sprinkler Irrigation,6330.785622,5640.836578
Ajmer,Saline,7.589264585,1.017731981,22.59427138,19.98815542,37.28196552,Chilli,Canal Irrigation,12004.15004,11324.20472
Jaipur,Alkaline,7.694156003,2.62475245,23.33611301,18.25280336,36.13715626,Coriander,Sprinkler Irrigation,12819.70117,12916.12556
Udaipur,Clay,7.495077596,1.155747406,24.39976289,23.35455624,43.0189526,Sugarcane,Canal Irrigation,14637.84417,15511.19713
Hanumangarh,Alkaline,7.481705013,2.329824999,35.45091736,16.25951968,30.16337468,Maize,Drip Irrigation,5840.427812,6178.499028
Hanumangarh,Chalky (Calcareous),7.592587768,2.212722432,31.11144928,26.39432907,35.2384181,Coriander,Sprinkler Irrigation,13613.70108,13978.8038
Nagaur,Black lava soil,7.42483977,1.836651893,24.78711153,14.13883123,42.32184932,Oilseeds,Sprinkler Irrigation,14257.65671,14629.68053
Nagaur,Sandy,6.865334752,2.851257329,31.01164398,28.1592845,36.33483502,Sugarcane,Canal Irrigation,13435.9878,14307.01195
Udaipur,Alkaline,8.268030591,2.298768853,26.44348387,20.58562108,41.18111823,Sugarcane,Sprinkler Irrigation,7049.046866,7916.060498
Alwar,Black lava soil,7.59806573,1.547965855,22.25519737,21.28987991,45.51938672,Guava,Sprinkler Irrigation,12361.20041,11830.26611
Ajmer,Clay,7.112518588,2.684047118,39.83458481,19.80427987,46.2485521,Tomato,Sprinkler Irrigation,7600.513585,8194.564753
Alwar,Alkaline,7.579046949,2.016721734,29.5905281,24.95595556,43.73722486,Citrus,Tube Well,10808.9501,10592.66787
Sri Ganganagar,Saline,7.405898781,1.948206573,28.93062416,24.85158101,42.0937998,Cumin,Sprinkler Irrigation,10142.64844,9881.992729
Ajmer,Black lava soil,7.481053459,3.194185996,35.92128323,23.61413447,40.55899579,Tomato,Canal Irrigation,7527.310611,7131.947208
Alwar,Sandy,7.251533987,1.908715513,25.05021104,19.82496195,35.94499568,Garlic,Canal Irrigation,13431.99664,13550.22437
Nagaur,Saline,7.984684651,1.684298722,30.26263184,16.22024647,41.80220838,Pomegranate,Drip Irrigation,12193.86909,11979.82023
Ajmer,Sandy,7.947455278,1.183992557,25.47526084,10.96479303,38.6257735,Onion,Sprinkler Irrigation,9196.046017,10041.3921
Sri Ganganagar,Sandy,6.909062937,2.224736956,40.43023525,14.92620253,38.19268617,Garlic,Tube Well,12262.9,11409.18914
Hanumangarh,Clay,7.766679622,2.419734252,36.09097356,25.28684153,44.360985,Chilli,Drip Irrigation,10782.35242,10309.0518
Kota,Clay,7.294487532,2.510811492,28.10620082,30.41330161,42.1543121,Garlic,Sprinkler Irrigation,14123.76228,13285.68036
Ajmer,Loamy,7.093727115,3.052648715,30.17443974,13.12244555,46.84039675,Wheat,Drip Irrigation,12586.05566,13246.68059
Kota,Alkaline,6.805350635,1.902150734,35.3004487,19.74238536,42.51545184,Pomegranate,Canal Irrigation,7285.115978,7134.659692
Jaipur,Black lava soil,7.370530602,1.906070299,35.59447299,26.37214213,39.14163173,Fenugreek,Drip Irrigation,5438.249894,5447.33389
Kota,Sandy,6.589619861,1.647113258,23.0402081,28.52051039,39.42445153,Pomegranate,Tube Well,13464.63694,13962.81877
Jodhpur,Alkaline,6.821532215,2.111576527,32.75942986,23.40115104,30.31623649,Coriander,Canal Irrigation,10766.2651,10990.98914
Bhilwara,Chalky (Calcareous),7.088961994,1.390357767,27.15275113,19.37989306,34.67889997,Cumin,Tube Well,7440.109287,7803.142863
Ajmer,Sandy,7.087083613,2.92319796,39.66679874,21.28375399,39.94242456,Mustard,Drip Irrigation,6443.783744,7220.802338
Jodhpur,Alkaline,7.389055864,1.325113465,38.84084647,21.59982596,32.965283,Chilli,Drip Irrigation,7943.994593,7732.634906
Sri Ganganagar,Clay,7.469798135,2.563890125,30.43055434,16.26538357,44.95083119,Gram,Drip Irrigation,11668.9426,11732.2647
Hanumangarh,Chalky (Calcareous),7.592587768,2.212722432,31.11144928,26.39432907,35.2384181,Coriander,Sprinkler Irrigation,13613.70108,13978.8038
Udaipur,Nitrogenous,7.721501065,2.475774885,24.89418771,22.3673595,38.66179455,Tomato,Sprinkler Irrigation,15963.09966,16372.35779
Udaipur,Saline,8.014728741,2.43615769,24.28490344,24.10079093,39.67655697,Onion,Sprinkler Irrigation,12363.4764,13285.95385
Bhilwara,Clay,7.068253198,1.984398256,30.09008436,22.36315173,33.16570818,Wheat,Drip Irrigation,17436.65886,17866.0239
Sri Ganganagar,Saline,7.648938096,2.225077817,29.47820775,28.87745425,32.60401991,Mustard,Drip Irrigation,14675.20751,14126.46352
Ajmer,Sandy,7.230604848,1.639893989,24.37172516,19.79354319,32.62748656,Gram,Drip Irrigation,9773.41397,9352.59512
Kota,Clay,7.223715327,1.063497085,40.22240779,15.01385856,34.70481439,Tomato,Sprinkler Irrigation,9090.349281,9102.478425
Alwar,Clay,7.196748306,2.227952098,27.70454845,16.52699815,34.22818666,Mango,Tube Well,12977.27774,12286.88913
Sri Ganganagar,Nitrogenous,7.594739911,2.503721987,23.72538666,20.92355237,44.68957769,Fennel,Drip Irrigation,12710.18555,12017.6947
Ajmer,Black lava soil,7.567781708,2.364259322,33.18802906,21.29384903,45.97765694,Mango,Sprinkler Irrigation,10497.01272,10795.08952
Hanumangarh,Loamy,6.881932102,2.62716918,33.65500313,22.69217479,43.57867121,Wheat,Drip Irrigation,9948.401486,10768.66446
Sri Ganganagar,Black lava soil,7.200089303,1.671432519,26.51140548,16.73268552,38.06729192,Wheat,Sprinkler Irrigation,12379.83859,13308.36619
Jodhpur,Alkaline,7.303194209,2.191216658,23.43918399,18.01442334,39.79264111,Coriander,Tube Well,9172.024048,8293.433412
Jaipur,Clay,8.524354129,1.187253865,27.21610614,20.16319418,45.68690549,Bajra,Sprinkler Irrigation,12647.30341,12819.36156
Ajmer,Chalky (Calcareous),7.336491341,1.89327161,32.48099594,17.32341644,42.55749788,Oilseeds,Sprinkler Irrigation,11379.8507,11581.52813
Udaipur,Chalky (Calcareous),7.159913262,1.357806482,37.37939575,22.45722755,38.85459485,Onion,Canal Irrigation,8018.848007,7953.113687
Jodhpur,Chalky (Calcareous),7.932034991,2.153067277,28.84470232,14.04062648,49.71764441,Cotton,Sprinkler Irrigation,9473.580498,9582.590408
Jaipur,Loamy,6.475242742,2.186766842,37.27717242,17.04490772,42.20029965,Citrus,Tube Well,12638.37382,12830.05292
Jodhpur,Sandy,7.804133583,2.672967504,29.12676027,26.80084065,39.05153253,Cotton,Sprinkler Irrigation,11279.21839,12182.77488
Nagaur,Saline,7.427560719,2.021520435,35.11420736,19.04776907,37.12958711,Citrus,Sprinkler Irrigation,8990.539719,9366.226091
Jodhpur,Clay,7.083200859,1.66005573,26.02014813,20.95944773,39.19720195,Pulses,Tube Well,7193.092735,6268.906166
Kota,Chalky (Calcareous),7.736572727,1.648544281,28.81096481,22.33215644,42.60344748,Wheat,Canal Irrigation,16092.81368,15806.90143
Bhilwara,Alkaline,7.524664083,2.361223493,28.17359571,31.93983853,40.90035519,Mango,Tube Well,10908.85768,10553.70041
Udaipur,Clay,7.666359665,1.333425996,28.76332018,21.66615267,46.4957491,Maize,Canal Irrigation,15086.93143,14486.90281
Jodhpur,Chalky (Calcareous),8.041056156,1.935482942,25.74168913,16.20514651,35.10629582,Pomegranate,Sprinkler Irrigation,6596.729919,6570.664869
Udaipur,Alkaline,7.991926172,2.062943265,27.61724288,13.47705278,35.53202493,Citrus,Tube Well,11115.22463,12041.85531
Nagaur,Saline,7.181888144,1.717469763,39.35537241,15.74557955,52.20610861,Maize,Sprinkler Irrigation,8680.344395,8249.415385
Jaipur,Sandy,8.100130875,1.768419319,27.94286696,25.76950367,30.6512915,Gram,Canal Irrigation,9320.451018,8695.537819
Jaipur,Black lava soil,7.387840515,2.429792436,30.39900742,25.69777768,38.06319018,Cotton,Canal Irrigation,10020.00476,10571.84058
Ajmer,Black lava soil,7.567781708,2.364259322,33.18802906,21.29384903,45.97765694,Mango,Sprinkler Irrigation,10497.01272,10795.08952
Hanumangarh,Chalky (Calcareous),7.721158434,1.624635196,24.24001226,20.54541485,41.92985046,Fennel,Canal Irrigation,7090.404122,7603.524009
Hanumangarh,Alkaline,8.317898903,1.889478768,30.34684901,20.96298459,51.96054818,Onion,Drip Irrigation,10936.18871,11014.58313
Alwar,Black lava soil,7.042261485,2.06322961,27.48565623,25.89432969,46.55581148,Barley,Drip Irrigation,7295.508888,6863.710656
Bhilwara,Nitrogenous,6.966983914,1.974228896,39.56002735,25.82030076,46.74589524,Gram,Sprinkler Irrigation,14615.2967,14165.22175
Alwar,Chalky (Calcareous),7.340625842,1.485094076,29.38327968,21.54523722,36.7215614,Cumin,Tube Well,11582.77732,11056.27725
Jodhpur,Saline,7.931111756,1.291886472,24.24423132,5.804606703,35.95309589,Maize,Tube Well,10244.54511,9579.26582
Nagaur,Sandy,6.865334752,2.851257329,31.01164398,28.1592845,36.33483502,Sugarcane,Canal Irrigation,13435.9878,14307.01195
Ajmer,Black lava soil,6.971751465,2.537610771,35.23638204,24.3171864,39.92218456,Pulses,Canal Irrigation,11001.11378,11027.36526
Kota,Clay,7.340576822,2.313217336,29.60045774,21.0253767,31.88308735,Barley,Canal Irrigation,8961.018206,9238.911257
Bhilwara,Saline,6.974972605,1.545155106,33.79750019,16.91612319,33.26002108,Guava,Tube Well,6966.954161,6731.696014
Hanumangarh,Chalky (Calcareous),7.395665814,1.843665777,34.28949413,22.76784766,38.7135,Barley,Sprinkler Irrigation,6952.117593,7646.851014
Bhilwara,Loamy,7.363577727,2.485087541,24.50795391,16.90438526,32.46737371,Wheat,Canal Irrigation,10898.39034,11259.66916
Kota,Black lava soil,7.182229451,2.104161254,31.80184358,15.44677456,46.35532663,Garlic,Drip Irrigation,18631.09133,17828.46276
Ajmer,Saline,8.2695986,1.535890016,36.21714139,21.77669098,30.95366143,Coriander,Canal Irrigation,14599.36564,14731.55946
Udaipur,Saline,8.0362709,2.714380081,37.17154835,21.42377297,30.18355426,Cotton,Sprinkler Irrigation,13740.20433,14487.59568
Udaipur,Saline,7.621828612,1.454895797,25.072302,15.1512814,40.55267659,Pulses,Canal Irrigation,6123.282175,7092.071026
